nome_da_imagem,categoria_detectada,acuracia
Apple___Apple_scab_00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,doente,0.7013
Apple___Apple_scab_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,doente,0.9985
Apple___Apple_scab_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_270deg.JPG,doente,0.975
Apple___Apple_scab_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_90deg.JPG,doente,0.9825
Apple___Apple_scab_01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_new30degFlipLR.JPG,doente,0.8412
Apple___Apple_scab_01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,doente,0.8887
Apple___Apple_scab_01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_90deg.JPG,doente,0.6355
Apple___Apple_scab_01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_new30degFlipLR.JPG,saudavel,0.8072
Apple___Apple_scab_0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,doente,0.9518
Apple___Apple_scab_0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_270deg.JPG,doente,0.9579
Apple___Apple_scab_0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_new30degFlipLR.JPG,saudavel,0.5938
Apple___Apple_scab_023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_270deg.JPG,doente,0.8239
Apple___Apple_scab_023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487_new30degFlipLR.JPG,saudavel,0.8359
Apple___Apple_scab_0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_270deg.JPG,doente,0.9596
Apple___Apple_scab_0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055_90deg.JPG,doente,0.9143
Apple___Apple_scab_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,doente,0.87
Apple___Apple_scab_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_270deg.JPG,doente,0.8512
Apple___Apple_scab_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_90deg.JPG,doente,0.9781
Apple___Apple_scab_029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504_new30degFlipLR.JPG,saudavel,0.915
Apple___Apple_scab_03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_270deg.JPG,doente,0.9243
Apple___Apple_scab_03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_90deg.JPG,doente,0.9221
Apple___Apple_scab_03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355_new30degFlipLR.JPG,doente,0.8672
Apple___Apple_scab_0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,doente,0.7541
Apple___Apple_scab_0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_270deg.JPG,saudavel,0.7519
Apple___Apple_scab_0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966_new30degFlipLR.JPG,saudavel,0.935
Apple___Apple_scab_0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,saudavel,0.7004
Apple___Apple_scab_0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_270deg.JPG,doente,0.5933
Apple___Apple_scab_0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287_90deg.JPG,saudavel,0.6421
Apple___Apple_scab_03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_270deg.JPG,saudavel,0.5551
Apple___Apple_scab_03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334_90deg.JPG,doente,0.8049
Apple___Black_rot_0090d05d-d797-4c99-abd4-3b9cb323a5fd___JR_FrgE.S 8727.JPG,doente,0.8948
Apple___Black_rot_0090d05d-d797-4c99-abd4-3b9cb323a5fd___JR_FrgE.S 8727_270deg.JPG,doente,0.8006
Apple___Black_rot_0090d05d-d797-4c99-abd4-3b9cb323a5fd___JR_FrgE.S 8727_90deg.JPG,doente,0.9816
Apple___Black_rot_0090d05d-d797-4c99-abd4-3b9cb323a5fd___JR_FrgE.S 8727_new30degFlipLR.JPG,doente,0.8014
Apple___Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593.JPG,doente,0.7284
Apple___Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593_270deg.JPG,doente,0.7779
Apple___Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593_90deg.JPG,doente,0.5214
Apple___Black_rot_00e909aa-e3ae-4558-9961-336bb0f35db3___JR_FrgE.S 8593_new30degFlipLR.JPG,saudavel,0.9799
Apple___Black_rot_0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734.JPG,saudavel,0.917
Apple___Black_rot_0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734_90deg.JPG,saudavel,0.9574
Apple___Black_rot_0139bc6d-391c-4fd1-bcae-cc74dabfddd7___JR_FrgE.S 2734_new30degFlipLR.JPG,saudavel,0.9657
Apple___Black_rot_0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE.S 3079.JPG,doente,0.8019
Apple___Black_rot_0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE.S 3079_270deg.JPG,doente,0.6881
Apple___Black_rot_0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE.S 3079_90deg.JPG,doente,0.8707
Apple___Black_rot_0199a733-6d3f-4e66-a903-2d1d34457871___JR_FrgE.S 3079_new30degFlipLR.JPG,saudavel,0.633
Apple___Black_rot_01e94c43-0879-4e8c-9b61-c48cfed88dab___JR_FrgE.S 3024_270deg.JPG,saudavel,0.9728
Apple___Black_rot_01e94c43-0879-4e8c-9b61-c48cfed88dab___JR_FrgE.S 3024_90deg.JPG,saudavel,0.9394
Apple___Black_rot_01e94c43-0879-4e8c-9b61-c48cfed88dab___JR_FrgE.S 3024_new30degFlipLR.JPG,saudavel,0.9972
Apple___Black_rot_02168189-aa75-4284-a7f0-8ca5901ea783___JR_FrgE.S 2948.JPG,saudavel,0.6237
Apple___Black_rot_02168189-aa75-4284-a7f0-8ca5901ea783___JR_FrgE.S 2948_270deg.JPG,saudavel,0.8557
Apple___Black_rot_02168189-aa75-4284-a7f0-8ca5901ea783___JR_FrgE.S 2948_new30degFlipLR.JPG,saudavel,0.7368
